연번,호선,역명,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,데이터기준일자
231,7호선,광명사거리,36.2,18.4,535,14.1,0.4,2022-12-31
232,7호선,천왕,47.8,23.8,525,7.2,0.5,2022-12-31
233,7호선,온수(7),30.9,17.4,516,15.6,0.3,2022-12-31
234,8호선,암사,39.1,18,731,16.4,0.4,2022-12-31
235,8호선,천호(5),27.3,13.5,574,18.8,0.5,2022-12-31
236,8호선,강동구청,28.2,13.7,587,17.8,0.5,2022-12-31
237,8호선,몽촌토성,55.2,33.1,493,12.4,0.5,2022-12-31
238,8호선,잠실(8),33.5,16.2,885,11.1,0.3,2022-12-31
239,8호선,석촌(8),47.8,22.7,542,16,0.4,2022-12-31
240,8호선,송파,33.6,17.3,738,13.1,0.3,2022-12-31
241,8호선,가락시장(8),27.1,12.5,712,12.3,0.5,2022-12-31
242,8호선,문정,38.6,24,559,14.2,0.5,2022-12-31
243,8호선,장지,29.8,18,502,22.7,0.4,2022-12-31
244,8호선,복정,24.4,11.7,541,16.3,0.5,2022-12-31
245,8호선,산성,28.5,18.5,674,6.1,0.4,2022-12-31
246,8호선,남한산성입구,24.7,15,693,3.5,0.6,2022-12-31
247,8호선,단대오거리,26.2,19,469,9.2,0.4,2022-12-31
248,8호선,신흥,38.2,19.2,511,20.2,0.8,2022-12-31
249,8호선,수진,27.8,16.8,403,11.5,0.6,2022-12-31
250,8호선,모란,24.2,12,398,11.1,0.5,2022-12-31
251,9호선,언주,48,26.3,486,6.8,2.5,2022-12-31
252,9호선,선정릉,45.6,26.8,474,6.2,2.2,2022-12-31
253,9호선,삼성중앙,57.1,23.9,514,4.8,2.1,2022-12-31
254,9호선,봉은사,56.1,24.3,505,7.4,2.8,2022-12-31
255,9호선,종합운동장(9),43.2,28.7,458,5.7,2.1,2022-12-31
256,9호선,삼전,56.6,30.8,482,5.2,2.2,2022-12-31
257,9호선,석촌고분,52.1,25.8,450,10.2,1.3,2022-12-31
258,9호선,석촌,51.7,33,467,5.4,0.6,2022-12-31
259,9호선,송파나루,44.3,25.9,449,4.4,0.8,2022-12-31
260,9호선,한성백제,40.1,35.5,428,7.4,1.2,2022-12-31
261,9호선,올림픽공원,49.1,27.8,465,6.1,0.5,2022-12-31
262,9호선,둔촌오륜,36.7,25.8,419,5.7,0.5,2022-12-31
263,9호선,중앙보훈병원,39.2,23.2,510,5.8,0.7,2022-12-31
